sounds,other,other
animals,nouns,nouns
vehicles,nouns,nouns
toys,nouns,nouns
food_drink,nouns,nouns
clothing,nouns,nouns
body_parts,nouns,nouns
household,nouns,nouns
furniture_rooms,nouns,nouns
outside,nouns,nouns
places,other,other
people,other,other
games_routines,other,other
action_words,predicates,verbs
descriptive_words,predicates,adjectives
time_words,other,other
pronouns,function_words,function_words
question_words,function_words,function_words
locations,function_words,function_words
quantifiers,function_words,function_words
helping_verbs,function_words,function_words
connecting_words,function_words,function_words
articles,function_words,function_words
states,function_words,function_words
prepositions,function_words,function_words
directions,function_words,function_words
classifiers,function_words,function_words
final_particles,function_words,function_words
unknown,unknown,unknown
descriptive_words (adjectives),predicates,adjectives
descriptive_words (adverbs),predicates,adverbs
articles,function_words,function_words
other,other,other
games,other,other
routines,other,other
outside_places,other,other
locations_quantities_adverbs,other,other
